name,prereq,description,wildwasteland
Embolden,,"You know how to prepare others for the worst, and to inspire the soul. Whenever you roll combat sequence, each other player character gains advantage on their first attack roll they make on their turn. However, if any player characters critically hit on their first attack after rolling combat sequence, they do not deal any extra damage. ","Wild Wasteland: Whenever you roll combat sequence, each other player character gains advantage on their first two attack rolls they make on their turn. However, if any player characters critically hit on their first or second attack after rolling combat sequence, they do not deal any extra damage. "
Long Roads,,"You’ve traveled far and wide and know how best to handle the open road. When you and any other player characters travel at a fast pace, you can move an additional two miles per hour. However, if you do, at the end of each hour you and each other player character must succeed a DC 12 Endurance check or gain a level of fatigue. The DC increases by 2 for any player character who succeeds this check.","Wild Wasteland: When you and any other player characters travel at a fast pace, you can move an additional five miles per hour. However, if you do, at the end of each hour you and each other player character gains a level of fatigue. "
Endure the Battle,,"You’ve comeback from the brink more often than once. If you roll a 19 or 20 on your Death Save, you return to 1 hit point. However you do not add your Luck or Endurance to your death saves. ","Wild Wasteland: If you roll an 18, 19, or 20 on your Death Save, you return to 1 hit point. However you do not add your Luck, Endurance, or Party Nerve to your death saves. "
Field Research,,"Your study of other creatures lends you to better fight them. Whenever you deal damage from an attack to a creature whose type you have fought before, the damage is increased by 2. However, whenever you deal damage from an attack to a creature whose type you haven’t yet fought before, the damage is subtracted by 2. ","Wild Wasteland: In addition to this trait's effects; whenever you rest and gain a bonus of XP after having rolled combat sequence with a creature you have never rolled combat sequence with before, you gain an additional 20% bonus of XP. However, whenever you rest and gain XP after having rolled combat sequence with a creature you have rolled combat sequence with before, you gain 10% less XP."
Wasteland Knowledge,,"You’ve accumulated information about different creatures and people in the wasteland. Whenever you roll combat sequence, you can choose to know either the hit point, stamina point, action point, AC, or DT total of any other creatures that are hostile towards you in the combat sequence. However, for each creature you choose with this ability, they can re-roll their combat sequence to potentially score a higher result.","Wild Wasteland: Whenever you roll combat sequence, you can choose to know two of the following: Hit point, stamina point, action point, AC, or DT total of any other creatures that are hostile towards you in the combat sequence. However, for each creature you choose with this ability, they can re-roll their combat sequence twice to potentially score a higher result."
Efficient Combatant,,"Due to your training, you're more reliable with a weapon. Whenever you make an attack roll and the result is a 1, you add your modifier and no longer automatically miss. However, your Karma Cap does not flip back over when you roll a 1 on attack rolls. ","Wild Wasteland: Whenever you make an attack roll and the result is a 1, you can re-roll the attack roll but must take the new result. However, whenever you make an attack roll and the result is a critical hit, you automatically hit but deal no extra damage. "
Bargaining Chip,,"You’ve got a nose for opportunity and know how to strike bargains. Whenever you sell an item, you can use your Discount ability to gain a bonus of caps equal to double your Barter skill modifier. However, you sell all your items for 10% less than their listed value. ","Wild Wasteland: Whenever you sell an item, you can use your Discount ability to gain a bonus of caps equal to triple your Barter skill modifier. However, you sell all your items for 20% less than their listed value. "
Talented,,"You’ve learned many valuable tricks, but haven’t honed your skills as much. You gain an extra perk at 1st level. However, five different skill modifiers of your choice decrease by 2.","Wild Wasteland: You gain two extra perks at 1st level. However, all your skill modifiers decrease by 2."
Adventurers Instinct,,"You know the best places to scavenge and where loot is often hiding. Whenever you roll a Luck ability check to search for items, you have advantage. However, any weapons or armor you find have an additional level of decay.","Wild Wasteland: Whenever you roll a Luck ability check to search for items, you have advantage and you can re-roll one of the dice. However, any weapons or armor you find have two additional levels of decay."
Bruiser,,"A little slower, but a little bigger. You may not hit as often, but they will feel it when you do! When you damage a creature from an attack with a melee weapon that deals bludgeoning damage, or an unarmed attack; the damage is increased by an additional damage dice. However any unarmed or melee weapon attack you make costs 1 more action points.","Wild Wasteland, option 1: When you damage a creature from an attack with a melee weapon that deals bludgeoning damage, or an unarmed attack; the damage is increased by 3. However any unarmed or melee weapon attack you make costs 2 more action points.Wild Wasteland, option 2, true to the original: Your Strength score is increased by 2, however your maximum action points are reduced by 2."
Built to Destroy,,"The flamer that burns twice as bright burns half as long. Any damage you deal with a weapon is increased by 1. However, whenever you roll a 1 on an attack roll with a weapon; the weapon gains two levels of decay instead of one.","Wild Wasteland: Any damage you deal with a weapon is increased by 2. However, whenever you attack with a weapon, it gaines Breakable (see pg #)."
Enhancement Reliant,,"You're accustomed to the rush of chemical enhancements or the electrodes of programs. If you are addicted, you lose the condition whenever you rest for at least 8 hours. However, you have disadvantage on any Endurance check to resist becoming addicted.","Wild Wasteland:  If you are addicted, you lose the condition after 1 hour. However, you always become addicted after using a Chem or Robot Overclock Program."
Claustrophobia,,"You have a fear of enclosed spaces. The effects from your Party Nerve are doubled while you are outside (IE: whenever you roll combat sequence and gain temporary stamina points, you gain double the amount and whenever you roll a death save, you double your party nerve bonus.) However, you do not gain the benefits of your Party Nerve while indoors, underground, or otherwise not outside. ","Wild Wasteland, true to the original: You gain advantage on all ability and skill checks while outside, but disadvantage on all ability and skill checks while indoors, underground, or otherwise not outside. "
Early Bird,,"Early to bed, early to rise, makes a ghoul stealthy, wealthy, and want to kill those guys! You can roll a d4 and add the number rolled to any ability or skill check you make from the hours of 6am to 12pm. However, you gain an additional level of fatigue whenever you fail an Endurance check to resist sleep.","Wild Wasteland, true to the original: You have a +2 to all skills in the morning (6am to 12pm), but a -1 during the night (6pm to 6am)."
Enhancement Resistant,,"Your body works hard to be resistant to addiction. You have advantage on any Endurance check to resist becoming addicted. However, whenever you use a Chem or Robot Overclock Program, the benefits last for half as long as the listed duration. ","Wild Wasteland: You are immune to the addicted condition. However, whenever you use a Chem or Robot Overclock Program, the benefits last for a maximum of one round regardless of its listed duration."
Fast Shot,,"You don't have time to aim because you're already firing! Whenever you spend action points to make an attack with a ranged weapon or explosive; you can choose to have disadvantage on the attack roll, if you do the attack costs 1 less action point to a minimum of 3. ","Wild Wasteland: In addition to the traits effects: You have advantage whenever you roll combat sequence, however you cannot make targeted attacks with ranged weapons."
Feral,,"You’ve survived in the heart of the savage wasteland. Whenever you deal damage with an unarmed or melee weapon attack, you deal an extra 2 damage. However, you do not gain the benefits from Party Nerve.","Wild Wasteland: In addition to the traits effects; whenever you spend at least 6 action points to move, you immediately gain 2 action points. However, you have disadvantage on all Barter and Speech skill checks. And, regardless of your Charisma ability score, you are considered to have a 4 in Charisma for any perk requirement."
Finesse,,"Whenever you critically hit with a weapon, the critical hit damage multiplier either increases by 1 or the damage dice increases by 1. However, whenever you make an attack roll the total is reduced by 1. ","Wild Wasteland: Whenever you critically hit with a weapon, the critical hit damage multiplier either increases by 2 or the damage dice increases by 2. However, whenever you make an attack roll the total is reduced by 2. "
Gifted,,"You have more innate abilities than most, so you have not spent as much time honing your skills. Your Carry Load increases by 10, your Combat Sequence bonus increases by 1, you can use Discount an additional time per rest, your Party Nerve increases by 1, and you have an additional Karma Cap. However, you decrease all your skill check bonuses by 3.","Wild Wasteland: Your Carry Load increases by 20, your Combat Sequence bonus increases by 2, you can use Discount two additional times per rest, your Party Nerve increases by 2, and you have two additional Karma Caps. However, you decrease all your skill check bonuses by 6."
Godspeed,,"While your stamina points are equal to 0, you can choose to gain one additional action point at the start of your turn. However, if you do so, your AC and DT are each decreased by 2.","Wild Wasteland: While your stamina points are equal to 0, you can choose to gain 2 additional action points at the start of your turn. However, if you do, you do not subtract your DT to any damage dealt to your hit points and your AC is equal to 8."
Good Natured,,"You're Good Natured at heart, more prone to solving problems with your mind than violence. Regardless of your Charisma ability score, you are considered to have an additional two points in your Charisma ability score for any perk requirement. (For example, if your Charisma ability score is equal to 5, with this trait it would be considered a 7 for perk requirements). However, regardless of your Agility and Strength ability scores, you are considered to have two points reduced for any Agility or Strength perk requirement. ","Wild Wasteland: Regardless of your Charisma ability score, you are considered to have a 10 in your Charisma ability score for any perk requirement. However, regardless of your Agility and Strength ability scores, you are considered to have a 4 for any Agility or Strength perk requirement. "
Brawny,,You gain a bonus to your maximum hit points equal to your level. However your maximum stamina points are reduced by a number equal to your level. ,Wild Wasteland: In addition to this trait’s effects; you gain a bonus to your maximum hit points equal to your level. However your maximum stamina points are reduced by a number equal to your level. 
Hoarder,,"Your Carry Load increases by 25. However, you have disadvantage on all ability checks, skill checks, and attack rolls while you’re not carrying at least 50 load of any combination of weapons, armor, ammunition, explosives, chems, food, drink, or junk items. ","Wild Wasteland: You are immune to the Encumbered condition, however whenever your Carry Load falls below your maximum, you gain a level of fatigue. "
Hot Blooded,,"While your stamina points are equal to 0, you gain the following effects: When you roll a 1 or 2 on a damage die for an attack you make with any weapon, you can reroll the die and must use the new roll, even if the new roll is a 1 or a 2. Whenever you make an attack roll, subtract 2 from the result. ","Wild Wasteland: In addition to this trait's effects: When your stamina points are equal to 0; the damage you deal from any attack roll is increased by 5. However, you have disadvantage on all your attack rolls while your stamina points are equal to 0. "
Jinxed,,"The good thing is that everyone around you has more critical failures in combat, the bad thing is - so do you! Whenever any creature in the game makes an attack roll, the chance to automatically miss the attack and for the weapon to gain a level of decay is increased by 1. (Example: If only one player character has taken this perk; then if any creature makes an attack roll and rolls a 1 or 2 on the dice, they automatically miss and their weapon gains a level of decay. However, if your karma cap is flipped you may flip it back over.)","Wild Wasteland: Whenever any creature in the game makes an attack roll, the chance to automatically miss the attack is increased by 2. "
Loose Cannon,,"Whenever you spend action points to throw an explosive, you spend 1 less action point to a minimum of 3. However, you can throw them only up to half their listed range. ","Wild Wasteland: In addition to this trait's effects: Whenever you throw an explosive, and it deals damage to another player character's hit points, the damage is doubled for all other creatures that aren’t player characters."
Night Person,,"You’re more of a night-person. You can roll a d4 and add the number rolled to any ability or skill check you make from the hours of 6pm to 6am. However, you gain an additional level of fatigue whenever you fail an Endurance check to resist sleep.","Wild Wasteland, true to the original: You have a -1 to all skills in the morning (6am to 12pm), but a +2 during the night (6pm to 6am)."
One Hander,,"Whenever you make an attack roll with a weapon that only requires one hand, add 2 to the result. However, whenever you make an attack roll with a weapon that requires two-hands, subtract 2 from the result.","Wild Wasteland: Whenever you deal damage from an attack with a weapon that only requires one hand, add 2 to the total. However, whenever you deal damage from an attack with a weapon that requires two-hands, subtract 2 from the total."
One in a Million,,"You're not particularly lucky or unfortunate, but when lightning strikes, it strikes hard! When you critically hit with an attack roll from any weapon, roll a d20. If you roll a 20 on this d20 roll then you automatically hit and roll the extra damage listed in the weapon table, however this damage is quadrupled. If you do not roll a 20, your attack still hits but does not deal any critical hit damage.","Wild Wasteland: When you critically hit with an attack roll from any weapon, roll a d20. If you roll a 20 on this d20 roll then roll another d20. If you roll a 20 on the third d20 roll then you automatically hit and roll the extra damage listed in the weapon table, however this damage is octupled."
Skilled,Prerequisite: An ability score equal to or lower than 3.,Increase one Skill modifier by 2.,Wild Wasteland: Prerequisite: One Ability Score equal to 1. Increase one Skill modifier by 5.
Small Frame,,You gain a bonus to your maximum stamina points equal to your level. However your maximum hit points are reduced by a number equal to your level. ,Wild Wasteland: In addition to this trait’s effects; you gain a bonus to your maximum stamina points equal to your level. However your maximum hit points are reduced by a number equal to your level. 
Trigger Discipline,,"Whenever you make a targeted attack roll with a ranged weapon, the additional cost is reduced by 1 AP. However, your combat sequence bonus is reduced by 2. ","Wild Wasteland: Whenever you make a targeted attack roll with a ranged weapon, the additional cost is reduced by 2 AP. However, your combat sequence bonus is reduced by 5. "
