title,properties
Cleansing," If you consume a food or drink with this property, you cure one addiction.<br><br>"
Strengthening,"If you consume a food or drink with this property, whenever you attack another creature and roll damage; the damage is increased by 2.<br><br>"
Lucky,"If you consume a food or drink with this property, you have advantage on all Luck ability checks for the next 6 hours.<br><br>"
Charged,"If you consume a food or drink with this property, you recycle all of your unspent AP at the beginning of each of your turns for the next hour.<br><br>"
Anxiolytic,"If you use a chem with this property, you have advantage on Charisma ability and skill checks, combat sequence rolls, and any checks to resist becoming frightened.<br><br>"
Extrapolating,"If you use a chem with this property, you have advantage on all Intelligence and Perception ability and skill checks.<br><br> However, you have disadvantage on all Charisma ability and skill checks.<br><br>"
Hallucinogenic,"If you use a chem with this property, you have advantage on all luck checks and may flip your karma cap.<br><br>"
Hyperstimulant,"If you use a chem with this property, you gain 4 additional AP at the start of your turn (to a maximum of 20).<br><br> You no longer suffer the negative effects of the first eight levels of exhaustion.<br><br> If you have no levels of exhaustion, whenever you roll a d20; add 2 to the result.<br><br> Additionally, you are immune to gaining levels of fatigue.<br><br>"
Invigorating,"If you use a chem with this property, you regain stamina points equal to half your level.<br><br>"
Painkilling," If you use a chem with this property, your DT increases by 3.<br><br>"
Psychosis,"If you use a chem with this property, when you deal damage from an attack roll; the damage is increased by 5.<br><br> However, you always attack the nearest hostile creature.<br><br> If there are no creatures that are hostile nearby, you must make an Endurance ability check equal to 15.<br><br> If you fail, you attack the nearest creature.<br><br>"
Sedative,"If you use a chem with this property, your passive sense increases by 5 and if you critically hit with an attack roll; the damage is increased by 10.<br><br>"
Stimulant,"If you use a chem with this property, you gain 1 additional AP at the start of your turn (to a maximum of 16).<br><br> You no longer suffer the negative effects of the first three levels of exhaustion.<br><br> If you have no levels of exhaustion, whenever you roll a d20; add 1 to the result.<br><br>"
Superstimulant,"If you use a chem with this property, you gain 2 additional AP at the start of your turn (to a maximum of 20).<br><br> You no longer suffer the negative effects of the first five levels of exhaustion.<br><br> If you have no levels of exhaustion, whenever you roll a d20; add 2 to the result.<br><br> Additionally, you are immune to gaining levels of fatigue.<br><br>"
Blinded, A blinded creature cant see and automatically fails any ability check that requires sight.<br><br> Attack rolls against a blinded creature have advantage.<br><br> A blinded creature can attack creatures with a blind attack if they are aware of them.<br><br>
Bleeding," At the start of each of their turns, for each level of bleeding they have, a creature with this condition takes damage to their hit points equal to half their healing rate (rounded down).<br><br> A dying creature with any levels of this condition fails a death save at the start of their turns.<br><br> If a creature who has any levels of bleeding is healed, they do not gain any hit points, instead they remove two levels of bleeding.<br><br>"
Burning, A burning creature takes 1d10 fire damage at the start of their turns.<br><br> They can spend 6 AP to put themselves out.<br><br>
Buzzed, While buzzed you have disadvantage on all Intelligence and Perception ability and skill checks and advantage on all Endurance and Strength ability and skill checks.<br><br>
Corroded," While you are corroded, your DT is reduced by 5.<br><br>"
Dazed," While you are dazed, your maximum AP is reduced by half (rounded down) and you do not recycle any unused AP at the start of your next turn.<br><br>"
Deafened, A deafened creature cant hear and automatically fails any ability check that requires hearing.<br><br>
Dehydration," Whenever you roll a d20, the total is subtracted by 1 for each level of dehydration you have.<br><br> At the end of each day, or every 24 hours, if you did not consume at least three drinks or a drink with the hydrating property, you gain three levels of dehydration.<br><br> When you gain your tenth level of dehydration, you die.<br><br>"
Drunk," While drunk, you gain the effects of buzzed, you have 2 less AP, and your maximum stamina points increase by a number equal to your level.<br><br>"
Encumbered," An encumbered creature moves slowly (2 AP per 5 feet).<br><br> The creature�s travel pace is halved, and you gain a level of Fatigue each hour you are encumbered.<br><br>"
Exhaustion," Whenever you roll a d20, the total is subtracted by 1 for each level of exhaustion you have.<br><br> When you gain your tenth level of exhaustion, you die.<br><br> If you are a human, ghoul, or super mutant; you can remove one level of exhaustion after resting for at least 6 hours.<br><br> If you are a robot or gen-2 synth; you can remove one level of exhaustion after resting for at least 2 hours.<br><br>"
Fatigue," Whenever you roll a d20, the total is subtracted by 1 for each level of fatigue you have.<br><br> You can only ever have a total of nine levels of fatigue.<br><br> At the end of each of your turns you lose one level of fatigue.<br><br>"
Frightened," <p>When a creature becomes frightened, they must succeed an Endurance ability check with the DC equal to 8 + the Intimidation skill bonus of the frightening creature.<br><br> </p><p> If they succeed this check by 5 or more, they are not frightened.<br><br></p><ul><li><p>If they succeed this check, they can choose to become frightened Flight, Fight, Freeze, or Fawn for half (rounded down) the allotted time.<br><br> </p></li><li><p>If they fail this check, they can choose to become frightened Flight, Fight, Freeze, or Fawn for the allotted time.<br><br> </p></li><li><p>If they fail this check by 5 or more, they can choose to become frightened Flight or Freeze for the allotted time.<br><br> </p></li></ul><p>Frightened - Flight.<br><br> A creature with this condition must use their action points on their turn to move as far away from the source of their fear as possible.<br><br> </p><p>Frightened - Fight.<br><br> A creature with this condition must use their action points on their turn to attack with intent to kill towards the source of their fear.<br><br> They cannot spend action points to move away from the source of their fear.<br><br></p><p>Frightened - Freeze.<br><br> A creature with this condition loses half their maximum AP (rounded down) and cannot spend any AP to move.<br><br> </p><p>Frightened - Fawn.<br><br> A creature with this condition uses all their AP on their turn to attack any creatures that are considered enemies to the source of their fear, or takes any other actions that would heal or help the source of their fear.<br><br></p>,"
Grappled, A grappled creature cannot spend AP to move.<br><br>
Hammered," While drunk, you gain the effects of buzzed and drunk.<br><br> Additionally, your maximum stamina points increase by a number equal to your level and whenever you roll a d20 it is subtracted by 5.<br><br>"
Heavily Encumbered," A heavily encumbered creature moves slowly (3 AP per 5 feet).<br><br> The creature�s travel pace is halved.<br><br> Every hour a heavily encumbered creature travels reduces their maximum stamina points by 2 (resets upon sleeping) Every day a heavily encumbered creature travels reduces their carry load capacity by 10 (resets upon traveling a day without being encumbered),"
Hunger," Whenever you roll a d20, the total is subtracted by 1 for each level of hunger you have.<br><br> At the end of each day, or after 24 hours, if you did not consume at least one food, you gain one level of hunger.<br><br> When you gain your tenth level of hunger, you die.<br><br>"
Invisible," An invisible creature is impossible to see.<br><br> For the purpose of hiding, the creature is heavily obscured.<br><br> The creatures location can be detected by any noise it makes or any tracks it leaves.<br><br> Attack rolls against the creature have disadvantage, and the creatures attack rolls have advantage.<br><br>"
Poisoned, A poisoned creature has disadvantage on all d20 rolls.<br><br>
Prone," A prone creatures only movement option is to crawl, unless it stands up and thereby ends the condition.<br><br> The creature has disadvantage on attack rolls.<br><br> An attack roll against the creature has advantage if the attacker is within 5 feet of the creature.<br><br> Otherwise, the attack roll has disadvantage.<br><br>"
Radiation," Whenever you roll a d20, the total is subtracted by 1 for each level of radiation you have.<br><br> Additionally, each time you gain a level of radiation you take 1d12 radiation damage to your hit points.<br><br> This damage cannot be healed until you are no longer in an irradiated zone.<br><br> If this radiation damage reduces you to 0 hit points, or you would gain your 10th level of radiation; you die.<br><br> Roll a Luck check with a DC of 20.<br><br> If you succeed, you return to life as a ghoul with 1 hit point.<br><br> If you roll below a 5 on this check, you instead return to life as a feral ghoul and the GM controls your character.<br><br>"
Restrained, A restrained creature cannot move.<br><br> When a restrained creature takes damage it cannot be subtracted from their stamina points.<br><br>
Shadowed," While you are shadowed, you cannot be detected via sight from creatures who do not have night vision.<br><br> If a creature is aware of your presence and does not have night vision, they can attempt to target you with a blind attack.<br><br>"
Shock, A creature who goes into shock has their stamina points immediately drop to 0 and starts their next turn with a maximum of 6 AP.<br><br>
Slowed, A slowed creature starts their turn with a maximum of 6 AP.<br><br>
Unconscious," When a creature becomes unconscious, it drops anything it was holding and all of its stamina points drop to 0.<br><br> It cant move or speak, and is unaware of its surroundings.<br><br>"
Wasted," While wasted, you gain the effects of buzzed, drunk, and hammered.<br><br> Additionally, you remember nothing from the time while you�re wasted and you fall unconscious after an hour.<br><br>"
