title,cost,properties,load,worn,full,qty,effect
Geiger Counter,200,"When you enter an irradiated zone, this device detects the level of radiation and you learn the radiation severity score.",4,0,0,1,0
Grappling Hook,35,A metal hook that can be tied and attached to rope with 6 AP.,10,0,0,1,0
Hazmat Suit,10,"This large yellow suit is lined with layers of lead to provide the most protection from radiation without wearing power armor. Due to its bulky design; it takes 1 minute to don or doff, and you cannot wear armor over the suit. However, you can wear armor underneath the suit. While you wear the hazmat suit your radiation DC decreases by 10 and you are immune to radiation damage. If you fail a radiation check, your radiation DC does not increase. For every 5 points of damage you take to your hit points while wearing a hazmat suit, it gains a level of decay. Each level of decay increases your radiation score by 1. To repair a hazmat suit, the crafting DC is equal to 12 (+2) and requires x2 lead and x1 cloth.",50,10,0,1,0
"Hazmat Suit, Powered",450,"This suit includes a geiger counter, an air purification system, impact absorption, further padding, and is topped with a bulbous helmet resembling a space suit. The suit requires power in order to operate. You can spend 6 AP to load 3 energy cells into the suit which allows it to be powered for up to 6 hours.  Thanks to its automatic shrink fitting system; It takes 30 seconds to don or doff, however you cannot wear armor while wearing this suit. While you wear the hazmat suit your DT is increased by 3, you cannot gain levels of radiation, and you are immune to radiation damage. For every 5 points of damage you take to your hit points while wearing a hazmat suit, it gains a level of decay. If the suit gains 10 levels of decay, it ceases function until repaired. To repair a hazmat suit, the crafting DC is equal to 15 (+5) and requires x3 lead, x2 leather, and x2 circuitry. ",80,5,0,1,0
Lockpicks,100,"These metal tools allow you to pick locks with far more proficiency. When you make a breach skill check to pick a lock, the DC is reduced by 5. After you use these lockpicks a total of five times, they break and cease function. ",4,0,0,1,0
Rope,10,"Rope can be used to tie items together, make a pulley system, climb, or tie someone up. If you are holding a rope while attempting to grapple or strangle another creature, you have advantage on your Strength ability rolls. Rope has an AC of 10, a DT of 2, 5 hit points, and vulnerability to ballistic, laser, plasma, and slashing damage. ",8,0,0,1,0
Sleeping Bag,25,"This nylon, cloth, or hide bag allows you to sleep even in the roughest terrain. ",10,0,0,1,0
Tent (one person),20,"This small tent provides shelter
from outside sources, weather, and terrain.",12,0,0,1,0
Tent (two person),25,"This larger tent provides shelter
from outside sources, weather, and terrain.",18,0,0,1,0
Water Skin,30,This leather pouch is fitted with a cap and nozzle and holds 60 oz. of liquid.,2,0,4,1,0
Weapon Repair Kit,90,"This plastic box filled with tools and mechanisms was used during the great war to repair soldiers' weapons with ease. Though, the tech used to create them has long since been forgotten; many are still found across the wasteland. You can spend 6 AP to insert any weapon into the repair kit. After 1 minute, the weapon is ejected and loses 2 levels of decay. The weapon repair kit ceases function after it has been used a total of three times.",10,0,0,1,0
Stealthboy,0,"A RobCo Stealth Boy 3001 personal
stealth device. This technological, pre-war wonder
generates a modulating field that transmits the reflected
light from one side of an object to the other. You can
spend 3 AP to activate a stealth boy, once you activate
you become invisible for 1 minute so long as you keep the
stealth boy on your body. Once a stealth boy has been
activated, it cannot be activated again.",0,0,0,1,0
