title,requirement,description,repeat
Medicinal Master,Perception 10,"When another creature rests for at least an hour, you can use a first aid kit, stimpak, or doctor's bag to heal them of half of their total hit points. If they rest for at least 4 hours, you you can use a first aid kit, stimpak, or doctor's bag to heal them of all their hit points","If You take this perk again, when another creature rests for at least an hour,You can use a first aid kit, stimpak, or doctor's bag to heal them of all their hit points"
Grit,Endurance 6,"Whenever you are dying, movement does not cost any extra action points and you gain an additional action point at the start of your turn.","If You take this perk again,You gain 2 additional action points at the start ofYour turn whileYou're dying"
Ferocious Loyalty,Charisma 6,"The power of your personality inspires die-hard loyalty from your followers. When you first take damage to your hit points, your party members can regain all their stamina points so long as they can sense you. Once this ability triggers it doesn't trigger again until you rest for at least 8 hours.","Once a player character has taken this perk, it cannot be taken by any other characters"
Swift Learner,,"Whenever the GM awards XP, you and each other player character gain an additional 20% bonus.",This perk can be taken up to a maximum of twice by one player character or once by a total of two player
Mysterious Stranger,Luck 8,"You have the protection of the wasteland's guardian angel. Choose a number from 2 to 19. Whenever you make an attack roll and the result is the chosen number, the Mysterious Stranger appears! When he appears, roll a d20 (you can choose to add your Luck ability modifier to this roll) and consult the table below. 1 - 9 The target of the attack roll takes ballistic damage equal to 2 x your level. 10 - 20 The target of the attack roll takes ballistic damage equal to 3 x your level.21 - 24 Your attack becomes a critical hit. If it was already a critical hit; you do not roll your damage dice and instead deal the maximum amount on each dice.25+ The target of the attack roll dies.",This perk can only be taken once and only by one player character
Thick Plating,"Robot, Level 8",Your AC and DT increase by 1.,You can take this perk up to a maximum of three times
Purifier,,"Whenever you make an attack roll with an unarmed or melee weapon against an abomination, add 3 to the result. (Abominations include Super mutants, Deathclaws, Mirelurks, Fog crawlers, etc.)",You can take this perk up to a maximum of three times
Duelist,,"Whenever you roll attack or damage with an unarmed or melee weapon, add 2 to the result.",You can take this perk up to a maximum of three times
Quick Repair,Intelligence 9,"You can spend 6 action points to Quick repair. Quick repair removes two levels of decay from an item. Once you Quick repair, you cannot do it again until you rest for at least 8 hours.",You can take this perk up to a maximum of three times WhenYou take it againYou can Quick repair an additional time per 8 hour rest
Pack Rat,Perception 6,"Each player character's carry load increases by 10. Additionally, any item you carry that has a load less than 3 is reduced to 1.","You can take this perk up to a maximum of three times, each time increasing each player character's carry load by 10"
Empowered Energy,Perception 5,"Whenever you roll damage from an attack from an energy weapon, you can roll an additional damage dice. Additionally, whenever you critically hit with an energy weapon you can choose to either make an additional attack (up to a maximum of one per turn) or double the critical hit damage.","You can take this perk up to a maximum of three times, each time increasingYour energy weapon damage dice by one"
Standoff,Perception 5,"You've got a nose for trouble. Whenever you roll Combat Sequence, you and one other creature within 30 feet of you gains a bonus equal to your Perception ability modifier.","You can take this perk up to a maximum of three times, each timeYou take it increases the amount of creatureYou can affect by one"
Sneering Imperialist,,"You don't take kindly to raiders, junkies, or freeloaders. Whenever you roll damage from an attack roll against a humanoid with no affiliation to a faction, add 3 to the result.",You can take this perk up to a maximum of twice
Fight the Power!,,"You've had enough of these so-called""authorities""! Whenever you take damage to your hit points from a creature affiliated to a faction",You can take this perk up to a maximum of twice
Remedial Atomizer,Intelligence 9,"You can spend 6 action points and two stimpaks to cause each non-robotic creature within 20 feet of you to regain hit points equal to their healing rate. Alternatively, you can spend 6 action points and two robot repair kits to cause each robotic creature within 20 feet of you to regain hit points equal to their healing rate.","You can take this perk up to a maximum of twice IfYou take this perk again,You can use four stimpaks or robot repair kits to have each creature heal double their healing rate"
It Just Works,Luck 5,"Whenever any of your weapons or armor would gain a level of decay, roll a Luck check with the DC equal to 12 + the current levels of decay on the weapon or armor. If you fail, the weapon or armor gains a level of decay. If you succeed the weapon or armor still gains a level of decay, but this level of decay doesn't apply any negative effects for as long as you have it.","You can take this perk up to a maximum of twice, ifYou take it again; wheneverYou succeed the aforementioned Luck check, the weapon or armor gains no levels of decay instead"
Legend of the Wastelander,Charisma 8,"Stories of you are heard from around the wasteland. Your Party Nerve negatively affects any enemies' Stamina Points that you are in combat with. Yes, even if they're a creature incapable of comprehending the idea of a legend.",You can take this perk once
Nerves of Steel,Agility 10,"At the start of each of your turns, so long as your hit point total isn't below half, you regain stamina points equal to half your level (rounded down).",You can take this perk once
Anticipated Reflexes,Agility 10,"Whenever an attack beats your AC and hits you, you can choose to spend 3 Action Points to increase your AC by 1, 6 Action Points to increase your AC by 2, or 9 Action Points to increase your AC by 3. However, at the start of your next turn you will regain less Action Points equal to the amount you spent.",You can take this perk once
Quick Draw,Agility 4,"Whenever you spend action points to equip or stow an item, it costs 2 less to a minimum of 1.",You can take this perk once
Action Hero,Agility 4,Your action point maximum increases by 2 to a maximum of 15.,You can take this perk once
Reaction Reactor,Agility 5,"If you end your turn with at least 3 unused action points, you can use them at the end of another creature's turn. If you do not use them, you recycle all of them at the beginning of your next turn.",You can take this perk once
Fan the Hammer,Agility 5,"Whenever you attack with a revolver, you can flip one of your Karma Caps and spend 10 AP to make a number of additional attacks without spending any additional AP, the target of these attacks must be within 10 feet of the previous target. The number of attacks you can make is equal to the rounds you have left in the revolver.",You can take this perk once
The Dance,Agility 5,"Whenever you roll damage from an attack made with a bladed melee weapon, you can choose to add your Agility ability modifier to the damage instead of your Strength ability modifier.",You can take this perk once
Nimble Dash,Agility 5,"Whenever you spend action points on your turn to sprint, you do not stop your movement when small barriers block you. Instead you can spend 10 feet of that movement to vault over or slide under the barrier. Additionally, if you spent all of your action points on a turn to sprint, all attack rolls made against you have disadvantage until the start of your next turn.",You can take this perk once
Rapid Reload,Agility 5,"Whenever you spend AP to reload or take cover, it costs you 3 less to a minimum of 1. Additionally, when you reload a weapon that has Manual Reload, you can spend 1 AP to reload three rounds.",You can take this perk once
Evasive Action,Agility 5,"Whenever you take damage to your stamina points for the first time after rolling combat sequence, the damage is reduced to 0.",You can take this perk once
And Stay Back,Agility 6,"Whenever you deal damage to a creature with a shotgun, you ignore 2 points of DT. Additionally, the target is within 5 feet of you; you can choose to knock them back 15 feet away from you.",You can take this perk once
Multitarget Hotshot,Agility 6,"Whenever you hit a creature with a ranged attack, your next ranged attack roll is increased by 2 so long as you target a different creature. After this second attack, if you target a different creature than the previous two attacks, the attack roll is increased by 4. After this third attack, you cannot gain the initial increase of 2 until you make another ranged attack. Clarification: You can make one normal ranged attack, then if you target another creature, you get +2. If you target another different creature, you get +4. Then, the bonus resets. You need to attack a creature without this perk's bonus to start the +2 to +4 cycle again. Further clarification, you do not need to make these attacks all on one turn.",You can take this perk once
Gunslinger,Agility 6,"Whenever you make an attack roll with a handgun, add 2 to the result. Additionally, whenever you hit a creature with a targeted attack roll to the head with a handgun, you can flip one of your Karma Caps to turn the hit into a critical hit. Once you use this ability, you cannot use it again until you roll combat sequence again.",You can take this perk once
Concentrated Fire,Agility 7,"Whenever you hit with a targeted attack roll, you can choose the limb condition. Additionally, your attack rolls against creatures are increased by 2 for each limb condition they have.",You can take this perk once
Ninja,Agility 7,"You can spend 5 action points on your turn to perform a spinning attack, this attack targets 3 creatures that are within 5 feet of you and acts as an unarmed attack. Additionally, whenever you attack with a melee weapon or unarmed attack; your crit chance decreases by 2.",You can take this perk once
Mister Sandman,Agility 8,"Bring me a dream! If you attack an unconscious creature, they die.",You can take this perk once
Ranger's Deadly Aim,Agility 8,"If you are the first to act in combat sequence, you can choose for your first attack roll to critically hit or, you can attack up to three times without spending any AP.",You can take this perk once
Efficient Speedster,Agility 9,"You recycle all your unused Action Points at the start of your turn, additionally whenever you sprint you can turn your direction once and continue sprinting.",You can take this perk once
Group Camouflage,Agility 9,"Your Group Sneak score is equal to 20, as are any allies within 30 feet of you.",You can take this perk once
Celebrity,Charisma 10,"Everybody knows who you are! People around the wasteland go crazy just to meet you! You get free drinks at bars and you have a permanent 20% discount on all items. Whenever you meet an NPC who isn't hostile, in neutral standing towards you, or directly affiliated with a faction; you may roll a Luck check with the DC equal to 30 - your Speech or Barter skill bonus. On a success, the NPC knows who you are. You gain advantage on all Charisma based skill checks with this NPC. Additionally, you can lose your Karma Cap to have this NPC follow you and your party. Obeying orders from you (within reason), but won't outright hurt or kill themselves. If you dismiss this NPC, or they die; you gain your Karma Cap back at the beginning of the next game session.",You can take this perk once
Stand and Fight,Charisma 10,"Whenever another creature within 30 feet of you fails a death save and dies, you can turn that roll into a success. Once you use this ability on a creature, you cannot use it on them again until you roll combat sequence. ",You can take this perk once
Party Animal,Charisma 4,"Nobody has a good time like you! You cannot become addicted to Alcohol and whenever you drink an alcoholic drink, you regain a number of stamina points equal to your level.",You can take this perk once
Savvy Salesman,Charisma 4,"Whenever you purchase an item, the price is reduced by a percentage number equal to 2 x your Charisma ability score.",You can take this perk once
Animal Friend,Charisma 5,"While in Combat, you will not be targeted by Animals or Insects unless all other targets are out of sight or unconscious.",You can take this perk once
Poker Face,Charisma 5,"You are totally unreadable. Whenever you roll a Speech skill check and the result is lower than 9, the total is instead equal to 9 + your Speech bonus. Additionally, whenever you gamble in a game of cards or dice; you can add your Charisma ability score to the roll.",You can take this perk once
Battle Cry,Charisma 5,"You can spend 3 AP on your to encourage your allies, let out a battle cry, or otherwise instigate victory! Each creature of your choice within 20 feet of you gains 2 additional action points to a maximum of 15. Additionally, each chosen creature gains advantage on their first attack roll on their turn. Once you use this ability you cannot use it again until you roll combat sequence again.",You can take this perk once
Flaunt 'n Taunt,Charisma 5,"You're good at causing a scene! You can spend 3 action points on your turn to taunt a target creature. Roll a Charisma check, that creature must succeed a Charisma ability check with the DC being equal to your check total. If they fail; the next attack roll against the taunted creature that isn't from you has advantage. Additionally on their next turn they can only target you with their attacks. If you try to taunt a creature you have previously taunted, they have advantage on their Charisma check. You cannot taunt a creature more than twice.",You can take this perk once
Dealer's Choice,Charisma 5,"You've got a way with selling even the most useless scrap. Whenever you sell an item, you can sell it for 75% of the price instead of 50%.",You can take this perk once
Synergizing Teamwork,Charisma 6,"Whenever another party member fails an attack roll, you can flip one of your Karma Caps to add a bonus equal to your Charisma ability modifier. If the attack hits, the next creature to make an attack roll for the first time on their turn gains a bonus equal to your Charisma ability modifier plus 1. This ability continues to trigger until a party member misses their first attack roll on their turn.",You can take this perk once
Terrifying Presence,Charisma 7,"During the first round of combat, regardless if you are first, you intimidate your opponents with threats. Each enemy that can see you in the combat sequence with an intelligence higher than 2 must becomes frightened (see page #).",You can take this perk once
Big Ego,Charisma 7,"With all that charm, even YOU know why you're so great! Your Party Nerve modifier is doubled for you.",You can take this perk once
Inspiring Action,Charisma 7,"You can spend 3 AP on your turn to inspire a creature within 30 feet. That creature can add 2d10 to any d20 roll they make for the next minute. Once they use the 2d10, they cannot use it again. Once you inspire a creature, you cannot inspire them again until the next day.",You can take this perk once
Empowering Personality,Charisma 8,"You lead by example, whenever another creature within 30 feet of you deals damage from an attack roll; you can flip one of your Karma Caps to increase the damage by a bonus equal to double your Charisma ability modifier. Additionally, whenever another creature takes damage to their hit points, you can flip one of your Karma Caps to reduce this damage by an amount equal to double your Charisma ability modifier.",You can take this perk once
Commander,Charisma 9,You can spend 3 AP to give any allied creature within 60 feet of you a command. That creature immediately gains 6 AP to complete the described action immediately. These action points do not remain or are not recycled after the command is completed.,You can take this perk once
Indomitable Spirit,Endurance 10,"When you roll combat sequence, you and any creatures of your choice gain temporary hit points equal to your Endurance modifier. Additionally, you can spend 3 action points on a dying creature within 5 feet of you, if you do they succeed one death save.",You can take this perk once
PHOENIX Implant,Endurance 10,"You can spend 3 action points to activate your implant, when you do; you heal a number of hit points at the start of your turn equal to your healing rate. This lasts for 6 rounds (or 30 seconds). After which, you cannot activate your implant again until you rest for at least 1 hour or roll combat sequence.",You can take this perk once
Master Chef,Endurance 4,"You know how to spice up any meal. You can spend 5 minutes cooking pre-made food, or whenever you make cooked food; it always has the filling property, if it has the bland property it instead has the tasty property, and any creature who consumes the food gains temporary stamina points equal to their level.",You can take this perk once
Trailblazer's Instinct,Endurance 5,"When you start traveling, once per day you can roll a Survival skill check with the DC equal to 12. The DC increases by 2 if the route you are taking moves through difficult terrain, is longer than 3 days of travel, or is in unfamiliar territory. On a successful roll, you and each other creature you are traveling with move faster by 2 miles per hour. Additionally, you have advantage on any encounter rolls.",You can take this perk once
Mad Dash,Endurance 5,"Whenever you spend action points on your turn to sprint, you move 80 feet in a line instead of 50.",You can take this perk once
Beyond the Sea,Endurance 5,"Whenever you spend action points to move through water, you can spend 1 action point to move 5 feet instead of 10. Additionally, drinking dirty water does not give you any irradiated levels.",You can take this perk once
The Long Road,Endurance 6,"While traveling, you and each player character can travel an additional hour without gaining a level of exhaustion. Additionally, you gain all of your stamina points after resting for an hour instead of eight.",You can take this perk once
Alive and Kickin',Endurance 6,Your energetic spirit can go the extra mile! You ignore the negative effects of the first three levels of exhaustion.,You can take this perk once
Solar Powered,Endurance 7,"Whenever you rest for at least an hour in direct sunlight, you gain temporary stamina points equal to your level. Additionally, you can use this solar power to charge your weapons. Whenever you roll damage, you can lose any number of temporary stamina points gained from this perk to increase the damage by an amount equal to the temporary stamina points lost.",You can take this perk once
Pure Determination,Endurance 8,"When you fall to 0 hit points for the first time on a turn, you can flip one of your Karma Caps to heal a number of hit points equal to your healing rate. Additionally, you are immune to the shock condition.",You can take this perk once
Quick Recovery,Endurance 8,"You can spend 3 action points on your turn to heal a number of stamina points or hit points equal to your healing rate. Once you use this ability, you cannot use it again until you rest for at least 6 hours. Additionally, whenever you heal hit points, you gain a bonus equal to your Endurance modifier.",You can take this perk once
NEMEAN Sub-Dermal Armor,Endurance 9,"You can spend 3 action points to activate your implant, when you do; you gain resistance to any three types of damage of your choice (acid, bludgeoning, ballistic, cold, electricity, explosive, fire, impact, laser, piercing, plasma, poison, radiation, or slashing) This lasts for 3 rounds (or 15 seconds). After which, you cannot activate your implant again until you rest for at least 1 hour or roll combat sequence.",You can take this perk once
Implant Y-7,Endurance 9,"Your maximum hit points increase by a number equal to double your level. Additionally, your Healing Rate increases by 2.",You can take this perk once
Eye for an Eye,Ghoul,"Finger for a finger. Whenever another creature deals damage to your hit points for the first time on a turn, that creature becomes marked. The next time you attack and hit the marked creature, it is automatically a critical hit. If the hit was already a critical hit, the damage you deal is doubled. Once a creature becomes marked, another creature cannot become marked until you rest.",You can take this perk once
Savage Sprint,Ghoul,"You can spend 3 action points on your turn to sprint instead of 5. Additionally, whenever you long jump you can clear an additional 10 feet and whenever you high jump you can clear an additional 3 feet.",You can take this perk once
Chem Resistant,Ghoul,"You no longer suffer the negative effects of addiction to chems. Additionally, syringes have no effect on you unless they are a stimpak or chem.",You can take this perk once
Holey Moley,Ghoul,"Your arms have some extra holes for aerodynamics! Once per turn, whenever you make an unarmed attack, you can spend 1 AP to make an additional one.",You can take this perk once
Stitched Together,Ghoul,"Your body has seen the worst the wasteland has to offer. If you ever lose any of your limbs, besides your head, you can spend 5 minutes reattaching the limb so long as you have a first aid kit and you still have the limb you lost. Additionally, you can spend 1 minute to heal a number of hit points equal to your healing rate. Once you heal in this way, you cannot do it again until you rest for at least 6 hours.",You can take this perk once
Reanimated,"Ghoul, Level 10","While you are dying, your speed is not halved and you gain an additional action point at the start of your turn. Additionally, when you die; you immediately gain 20 action points. Once these action points are used, or your turn ends; you die. Robot Perks.",You can take this perk once
How do you do fellow Ghouls?,"Ghoul, Level 5","Feral Ghouls will not target you with attacks unless you are the only hostile target within 60 feet. Additionally, you have advantage on Speech skill checks with any ghoul.",You can take this perk once
Can't Put Me Down,"Ghoul, Level 5","Your DT increases by 1 and you gain advantage on all Death Saves. If you already have advantage on Death Saves, you roll three d20's and take the highest result.",You can take this perk once
Springboard Recovery,Human,"On your turn you can spend 3 AP to heal a number of stamina points equal to your healing rate. Once you use this action, you cannot use it again until you rest for at least 6 hours.",You can take this perk once
Old World Gourmet,Human,Thanks to unclean living you've learned the secrets of the lounge lizards! Food and Drinks no longer give you Irradiated levels.,You can take this perk once
Nuclear Reactor,Human,"While in an irradiated zone you have advantage on all ability and skill checks. Additionally, your AC increases by 1, your DT increases by 2, and you gain temporary hit points equal to your level.",You can take this perk once
Rad Absorption,Human,"With the Rad Absorption perk, your radiation level slowly decreases on its own over time. Every time you sleep, and you are not in an irradiated zone, your rad level decreases by one.",You can take this perk once
Rad-Tastic!,"Human, Endurance 5","Your Radiation DC decreases by 3. Additionally, you ignore the negative effects of the first 3 levels of radiation.",You can take this perk once
Atomic!,"Human, Endurance 8","While in an irradiated zone, you gain additional action points equal to your Endurance ability modifier to a maximum of 15. If your action points are already 15, any actions you take that cost 4 AP or more instead cost 1 less.",You can take this perk once
Hunter's Wisdom,"Human, Ghoul, or Super Mutant","Whenever you take damage from attacks made from animals or insects, your DT increases by 2. Additionally, whenever you consume the meat of an animal or insect that has died within the past 15 minutes, you heal a number of hit points equal to your healing rate, once you heal in this way you cannot heal from it again until you rest for at least 8 hours. If you consume prepared animal or insect meat, you heal a number of stamina points equal to your level.",You can take this perk once
Cannibal,"Human, Ghoul, or Super Mutant","You dine on the most taboo of meats. Whenever you consume the flesh of a human, ghoul, or super mutant that has died within the past 15 minutes, you heal a number of hit points equal to double your healing rate, once you heal in this way you cannot heal from it again until you rest for at least 8 hours. If you consume prepared human or ghoul flesh, you heal a number of stamina points equal to your level.",You can take this perk once
Ghastly Scavenger,"Human, Ghoul, or Super Mutant","You dine on the rarest and most refined of strange meats. Whenever you consume the flesh of an abomination that has died within the past 15 minutes, you heal a number of hit points equal to double your healing rate, once you heal in this way you cannot heal from it again until you rest for at least 8 hours. If you consume prepared abomination flesh, you heal a number of stamina points equal to your level.",You can take this perk once
Overcharge,Intelligence 10,"When you spend action points to make an attack roll with a ranged weapon, you can spend up to 3 additional AP to add a number of additional damage dice to the damage. The number of additional damage dice that are added is equal to the amount of extra AP spent. You can only use this ability once per turn.",You can take this perk once
Expert Engineer,Intelligence 10,"Whenever you craft an item, you use two less materials for each material listed to a minimum of one.",You can take this perk once
Retention,Intelligence 4,"Whenever another player character succeeds a Barter,Breach, Crafting, Intimidation, Medicine, Science, Sneak, Speech, or Survival skill check, you gain a +3 to that skill check the next time you roll it (up to a maximum of +3). Additionally, whenever you read a Skill Magazine, its effects last for 8 hours instead of 1.",You can take this perk once
Math Wrath,Intelligence 4,"Whenever you make a targeted attack, you can spend half the amount of additional AP (rounded up). Additionally, you can make a special attack with a ranged weapon on your turn called a Calculated attack. This attack costs 6 action points regardless of the weapon's action point cost. When you make a Calculated attack, you can target a creature behind cover or otherwise out of sight so long as there is a plane or surface in which your projectile can ricochet off of (up to GM's discretion). When you roll damage from a Calculated attack, the damage is reduced by 1 for every 10 feet the projectile travels after ricocheting.",You can take this perk once
Educated,Intelligence 4 or lower,"You gain 4 skill points when you reach 5th, 9th, 13th, 17th, 21st, 25th, and 29th level instead of 3. Additionally, you gain a number of skill points equal to the total available at your level as if your Intelligence ability score is equal to 5. (Use the Level Up table on page # for reference).",You can take this perk once
On-the-Go Mechanic,Intelligence 5,"Whenever you craft an item, you no longer need a workbench. However, you need to keep your tools on you. Your tools are 5 Load.",You can take this perk once
Explorer,Intelligence 5,"Whenever you rest and gain a bonus of XP after having discovered new locations, you gain an additional 50% bonus of XP. Additionally; you can learn the direction and distance of any three named locations, to the GM's discretion.",You can take this perk once
Weatherboy!,Intelligence 5,"You always know which way is north, what the weather will be for the next three days, and whether the area you're traveling in is populated or empty (which determines encounters).",You can take this perk once
Patch Up,Intelligence 5,"You can heal a creature up to their healing rate. Once you heal in this way, that creature can only be healed again after resting for at least 8 hours.",You can take this perk once
Adroit Alchemist,Intelligence 5,"You understand the complex formulae of chems and can now alter them to change their effects. Whenever you craft a Chem, you use one less material listed in the crafting materials to a minimum of one. You can also make any Chem potent or diluted so long as you use one of the materials listed in the crafting materials. A potent Chem's effects are doubled, however the addiction DC is increased by 2. A diluted Chem's effects are halved, however you cannot become addicted to a diluted Chem.",You can take this perk once
Efficient Munitions,Intelligence 6,"Whenever you craft any type of ammunition, the attack and damage rolls made with this ammunition are increased by 2. Alternatively, you can forgo this bonus to instead; double the amount of ammunition you craft whenever you craft any type of ammunition.",You can take this perk once
Chemist,Intelligence 6,You know exactly what they put in those chems. The duration of any chems you take last twice as long and you have advantage on resisting addiction.,You can take this perk once
Light Touch,Intelligence 6,"You know how to specially craft your armor to fit you to grant you more flexibility and protection. When you take damage and are reduced to 0 hit points, your Armor only decays 1 level. Additionally; whenever you take damage to your hit points, you can have your armor absorb the blow. The damage is reduced to 0 but your armor decays by 1 level for every 10 damage absorbed.",You can take this perk once
Nerd Rage!,Intelligence 7,"You've been pushed around long enough! Whenever you start your turn with less than half your total hit points, your DT increases by 2.",You can take this perk once
In Shining Armor,Intelligence 7,"You've upgraded your armor with reflective material. You have resistance to laser and plasma damage. Additionally; each time you are hit with laser or plasma damage; roll a Luck check. On an 19 or higher the beam refracts and hits the attacker, dealing the same damage to them.",You can take this perk once
Computer Whiz,Intelligence 8,"Whenever you fail a Breach skill check on a computer, you can spend 10 minutes to automatically succeed the check instead (up to GM's discretion).",You can take this perk once
Robotic Expert:,Intelligence 8,"You ignore 2 points of damage threshold when dealing damage to Robots. Additionally, you can attempt to shut down robots with a successful Science check, the DC is equal to the Robots Intelligence score + 10. You cannot shut down robots if you are in combat with them.",You can take this perk once
Here and Now,Level 3,"You and each other player character immediately gain 1000 XP. Once this perk has been taken, it cannot be taken again by any other player characters.",You can take this perk once
Never Tell Me the Odds,Luck 10,"Whenever another creature hits you with an attack, you can flip one of your Karma Caps to turn the hit into a miss. Additionally, whenever you have the dying condition all attacks roll against you automatically miss.",You can take this perk once
Big Crits,Luck 4,"The critical hits you cause in combat are more devastating. If you roll a 20 on an attack roll with a weapon, you critically hit and the crit's damage is doubled.",You can take this perk once
Scrounger,Luck 4,"Whenever you make a Luck ability check to determine the loot you find, you can roll two checks and choose which result to take.",You can take this perk once
Fortune Finder,Luck 5,"When you take this perk, you suddenly come into possession of 800 caps! Additionally, whenever you find bottle caps, you find a number more equal to your Luck ability modifier.",You can take this perk once
Bloody Mess,Luck 5,"Whenever you deal damage with a weapon, the damage increases by 2. Additionally, whenever you reduce a creature to 0 hit points with a weapon attack, roll a Luck check with the DC equal to 20. If you succeed, the creature's body bursts. Each creature of your choice within 30 feet of the explosion becomes frightened for 1 round.",You can take this perk once
On a Fluke!,Luck 5,"Whenever you or another party member misses an attack, or fails an ability or skill check; you can flip one of your Karma Caps to turn it into a success (at GM's discretion).",You can take this perk once
Make it Double,Luck 5,You gain an additional Karma Cap.,You can take this perk once
Grim Reaper's Sprint,Luck 6,"Whenever you bring a creature to 0 hit points with a targeted attack, you immediately gain 8 action points. If you bring another creature to 0 hit points with a targeted attack on the same turn, you immediately gain 6 action points. If you bring a third creature to 0 hit points with a targeted attack on the same turn, you immediately gain 4 action points.",You can take this perk once
Randomizer,Luck 6,"Whenever you craft or repair an item, you can randomly choose one of the required materials, the required material is reduced by an amount equal to your Luck ability modifier to a minimum of 1. The required material is also replaced by a randomly chosen junk material. Additionally, whenever you consume a food, drink, or chem, you can choose to roll a Luck ability check with the DC equal to 15, if you succeed; one random food, drink, or chem property is added to the consumed food, drink, or chem.",You can take this perk once
Spray and Pray,Luck 6,"You can liberally blast areas with reckless abandon. Whenever you make a blind attack, you have advantage on the attack roll. Additionally, the blind attack DC is halved.",You can take this perk once
Ricochet,Luck 7,"What goes around comes around! Whenever another creature makes an attack roll against you, and they roll a 1, the attack hits them instead. Additionally, whenever another creature makes an attack roll within 30 feet of you, you can flip one of your Karma Caps to turn the attack roll's result into a 1.",You can take this perk once
